video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,313.031902721143,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6629128636416115,1.0,0.7907316361185934,0.4560030017275453,1.0,0.707740935999438,0.920161692541989,311.553219377999,69,0,332,0,399,5,10.0,10,0.3,20,"[3, 3]","[10, 10]"
TalhQQ9B7vc_0,0.6660848158691965,1.0,0.7928036333981239,0.4522235352866136,1.0,0.7456466704236939,0.9314602902132496,128.54358698856606,73,0,328,0,399,5,10.0,10,0.3,20,"[3, 3]","[100, 100]"
TalhQQ9B7vc_0,0.6289323983638905,1.0,0.7636640289450017,0.44950651615887693,1.0,0.718326440826845,0.9198552685122834,4.237259930529708,95,0,306,0,399,5,10.0,10,0.3,20,"[3, 3]","[1000, 1000]"
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,429.59366563229855,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]","[1.0, 1.0]"
TalhQQ9B7vc_0,0.5664043305960926,0.8163265306122449,0.6717587267130292,0.4466423535609073,0.6842105263157895,0.6914811823660283,0.7696646238780228,308.05692260981823,58,63,280,63,399,5,10.0,10,0.3,20,"[3, 3]","[2.0, 2.0]"
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,374.7576465156528,1,399,1,399,399,5,10.0,10,0.3,20,"[3, 3]","[0.5, 0.5]"
TalhQQ9B7vc_0,0.6245076796244868,1.0,0.7592346245055565,0.431248032619805,1.0,0.713522301722607,0.9179570767191982,18.2848642366265,101,0,300,0,399,5,10.0,10,0.3,20,"[3, 3]","[500.0, 500.0]"
TalhQQ9B7vc_0,0.6104542529893372,1.0,0.7451084464093014,0.4007796184651791,1.0,0.733645262839402,0.9250693195952018,51.106013525727384,124,0,277,0,399,5,10.0,10,0.3,20,"[3, 3]","[250.0, 250.0]"
TalhQQ9B7vc_0,0.6276130986715445,1.0,0.7617806622409771,0.42989337425846724,1.0,0.6775993116127823,0.9035011092438403,24.773668737446343,96,0,305,0,399,5,10.0,10,0.3,20,"[3, 3]","[400.0, 400.0]"
